ds,type,forecast
2023-01-01 00:00:00,BURGLARY FROM VEHICLE,0.7189747215902794
2023-01-01 00:00:00,BATTERY - SIMPLE ASSAULT,0.5642350809580601
2023-01-01 00:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.38517389296103327
2023-01-01 00:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.34683022900325
2023-01-01 00:00:00,VEHICLE - STOLEN,0.32660363604170095
2023-01-01 01:00:00,BURGLARY FROM VEHICLE,0.6668473272405417
2023-01-01 01:00:00,BATTERY - SIMPLE ASSAULT,0.5233266822510775
2023-01-01 01:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.35724786050304475
2023-01-01 01:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.32168420428673006
2023-01-01 01:00:00,VEHICLE - STOLEN,0.3029240879007777
2023-01-01 02:00:00,BURGLARY FROM VEHICLE,0.596393779734872
2023-01-01 02:00:00,BATTERY - SIMPLE ASSAULT,0.46803633352683166
2023-01-01 02:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.3195040200719783
2023-01-01 02:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.28769772425940054
2023-01-01 02:00:00,VEHICLE - STOLEN,0.27091964588577544
2023-01-01 03:00:00,BURGLARY FROM VEHICLE,0.5318708065286313
2023-01-01 03:00:00,BATTERY - SIMPLE ASSAULT,0.41740016522017365
2023-01-01 03:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.2849373461278687
2023-01-01 03:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.2565721270706807
2023-01-01 03:00:00,VEHICLE - STOLEN,0.24160924452595056
2023-01-01 04:00:00,BURGLARY FROM VEHICLE,0.4989833322272745
2023-01-01 04:00:00,BATTERY - SIMPLE ASSAULT,0.3915908200962059
2023-01-01 04:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.2673186508859958
2023-01-01 04:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.24070735477653296
2023-01-01 04:00:00,VEHICLE - STOLEN,0.2266696807770429
2023-01-01 05:00:00,BURGLARY FROM VEHICLE,0.5044092953240499
2023-01-01 05:00:00,BATTERY - SIMPLE ASSAULT,0.3958489930684251
2023-01-01 05:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.2702254837221006
2023-01-01 05:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.24332481540053838
2023-01-01 05:00:00,VEHICLE - STOLEN,0.22913449521796675
2023-01-01 06:00:00,BURGLARY FROM VEHICLE,0.5340801642859546
2023-01-01 06:00:00,BATTERY - SIMPLE ASSAULT,0.41913401915917076
2023-01-01 06:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.28612095787773606
2023-01-01 06:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.25763791149106713
2023-01-01 06:00:00,VEHICLE - STOLEN,0.24261287407674015
2023-01-01 07:00:00,BURGLARY FROM VEHICLE,0.5699447142173069
2023-01-01 07:00:00,BATTERY - SIMPLE ASSAULT,0.44727970582431725
2023-01-01 07:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.3053345517657094
2023-01-01 07:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.27493881191532143
2023-01-01 07:00:00,VEHICLE - STOLEN,0.2589048132240165
2023-01-01 08:00:00,BURGLARY FROM VEHICLE,0.6065714872088209
2023-01-01 08:00:00,BATTERY - SIMPLE ASSAULT,0.4760235678872124
2023-01-01 08:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.32495648883261646
2023-01-01 08:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.29260740537601904
2023-01-01 08:00:00,VEHICLE - STOLEN,0.2755430021286877
2023-01-01 09:00:00,BURGLARY FROM VEHICLE,0.6504356095981919
2023-01-01 09:00:00,BATTERY - SIMPLE ASSAULT,0.5104471378741765
2023-01-01 09:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.3484556665848787
2023-01-01 09:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.31376726420900003
2023-01-01 09:00:00,VEHICLE - STOLEN,0.2954688513052194
2023-01-01 10:00:00,BURGLARY FROM VEHICLE,0.704049535806019
2023-01-01 10:00:00,BATTERY - SIMPLE ASSAULT,0.5525221331221899
2023-01-01 10:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.37717807372141576
2023-01-01 10:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.3396303853258238
2023-01-01 10:00:00,VEHICLE - STOLEN,0.3198236759132624
2023-01-01 11:00:00,BURGLARY FROM VEHICLE,0.7538897029696111
2023-01-01 11:00:00,BATTERY - SIMPLE ASSAULT,0.59163556772572
2023-01-01 11:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.40387877770412023
2023-01-01 11:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.36367306175354897
2023-01-01 11:00:00,VEHICLE - STOLEN,0.3424642213006587
2023-01-01 12:00:00,BURGLARY FROM VEHICLE,0.7776066026472621
2023-01-01 12:00:00,BATTERY - SIMPLE ASSAULT,0.6102480535445461
2023-01-01 12:00:00,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0.41658455205680034
2023-01-01 12:00:00,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0.37511398936815626
2023-01-01 12:00:00,VEHICLE - STOLEN,0.35323793202754467
2023-01-01 13:00:00,BURGLARY FROM VEHICLE,0.7654461469455821
